Name,Rating
"MOTOROLA G60 (Moonless, 128 GB)",4.2
"realme C11 2021 (Cool Blue, 32 GB)",4.4
"realme C11 2021 (Cool Grey, 64 GB)",4.3
"realme C11 2021 (Cool Blue, 64 GB)",4.3
"realme C11 2021 (Cool Grey, 32 GB)",4.4
"realme Narzo 50i (Carbon Black, 32 GB)",4.5
"realme Narzo 50i (Mint Green, 32 GB)",4.5
"REDMI 9i Sport (Metallic Blue, 64 GB)",4.4
"REDMI 9i Sport (Carbon Black, 64 GB)",4.4
"realme Narzo 50i (Mint Green, 64 GB)",4.3
"REDMI 9i Sport (Coral Green, 64 GB)",4.4
"realme Narzo 50i (Carbon Black, 64 GB)",4.3
"OPPO K10 (Blue Flame, 128 GB)",4.6
"realme 9 5G (Stargaze White, 128 GB)",4.4
"realme 9 5G (Meteor Black, 128 GB)",4.4
"realme 9 5G (Stargaze White, 64 GB)",4.4
"POCO C31 (Royal Blue, 64 GB)",4.4
"realme 8 (Cyber Black, 128 GB)",4.3
"realme 8 (Cyber Silver, 128 GB)",4.3
"realme 8 (Cyber Black, 128 GB)",4.4
"MOTOROLA G60 (Soft Silver, 128 GB)",4.2
"realme C20 (Cool Blue, 32 GB)",4.4
"realme C20 (Cool Grey, 32 GB)",4.4
"OPPO K10 (Black Carbon, 128 GB)",4.7
